CUST_NAME,CUST_EMAIL_ID,CUST_PH_NUMBER,CUST_ADDRESS,CUST_PINCODE,PROD_CODE,PROD_DESC,PROD_QUANTITY,PURCHASE_DATE_TIME,AMOUNT,TRANSACTION_TYPE,TRANSACTION_ID
Harshitha49,harshitha@gmail.com49,7760410028,Nagasandra,560122,P051,Batteries,79,08-01-2025 10:02,30049,CARD,2783746
Harshitha50,harshitha@gmail.com50,7760410029,Nagasandra,560123,P052,Batteries,80,09-01-2025 10:02,30050,CARD,2783746
Harshitha51,harshitha@gmail.com51,7760410030,Nagasandra,560124,P053,Batteries,81,10-01-2025 10:02,30051,CARD,2783746
Harshitha52,harshitha@gmail.com52,7760410031,Nagasandra,560125,P054,Batteries,82,11-01-2025 10:02,30052,CARD,2783746
Harshitha53,harshitha@gmail.com53,7760410032,Nagasandra,560126,P055,Batteries,83,12-01-2025 10:02,30053,CARD,2783746
Harshitha54,harshitha@gmail.com54,7760410033,Nagasandra,560127,P056,Batteries,84,13-01-2025 10:02,30054,CARD,2783746
Harshitha55,harshitha@gmail.com55,7760410034,Nagasandra,560128,P057,Batteries,85,14-01-2025 10:02,30055,CARD,2783746
Harshitha56,harshitha@gmail.com56,7760410035,Nagasandra,560129,P058,Batteries,86,15-01-2025 10:02,30056,CARD,2783746
Harshitha57,harshitha@gmail.com57,7760410036,Nagasandra,560130,P059,Batteries,87,16-01-2025 10:02,30057,CARD,2783746
Harshitha58,harshitha@gmail.com58,7760410037,Nagasandra,560131,P060,Batteries,88,17-01-2025 10:02,30058,CARD,2783746
Harshitha59,harshitha@gmail.com59,7760410038,Nagasandra,560132,P061,Batteries,89,18-01-2025 10:02,30059,CARD,2783746
Harshitha60,harshitha@gmail.com60,7760410039,Nagasandra,560133,P062,Batteries,90,19-01-2025 10:02,30060,CARD,2783746
Harshitha61,harshitha@gmail.com61,7760410040,Nagasandra,560134,P063,Batteries,91,20-01-2025 10:02,30061,CARD,2783746
Harshitha62,harshitha@gmail.com62,7760410041,Nagasandra,560135,P064,Batteries,92,21-01-2025 10:02,30062,CARD,2783746
Harshitha63,harshitha@gmail.com63,7760410042,Nagasandra,560136,P065,Batteries,93,22-01-2025 10:02,30063,CARD,2783746
Harshitha64,harshitha@gmail.com64,7760410043,Nagasandra,560137,P066,Batteries,94,23-01-2025 10:02,30064,CARD,2783746
Harshitha65,harshitha@gmail.com65,7760410044,Nagasandra,560138,P067,Batteries,95,24-01-2025 10:02,30065,CARD,2783746
Harshitha66,harshitha@gmail.com66,7760410045,Nagasandra,560139,P068,Batteries,96,25-01-2025 10:02,30066,CARD,2783746
Harshitha67,harshitha@gmail.com67,7760410046,Nagasandra,560140,P069,Batteries,97,26-01-2025 10:02,30067,CARD,2783746
Harshitha68,harshitha@gmail.com68,7760410047,Nagasandra,560141,P070,Batteries,98,27-01-2025 10:02,30068,CARD,2783746
Harshitha69,harshitha@gmail.com69,7760410048,Nagasandra,560142,P071,Batteries,99,28-01-2025 10:02,30069,CARD,2783746
Harshitha70,harshitha@gmail.com70,7760410049,Nagasandra,560143,P072,Batteries,100,29-01-2025 10:02,30070,CARD,2783746
Harshitha71,harshitha@gmail.com71,7760410050,Nagasandra,560144,P073,Batteries,101,30-01-2025 10:02,30071,CARD,2783746
Harshitha72,harshitha@gmail.com72,7760410051,Nagasandra,560145,P074,Batteries,102,31-01-2025 10:02,30072,CARD,2783746
Harshitha73,harshitha@gmail.com73,7760410052,Nagasandra,560146,P075,Batteries,103,01-02-2025 10:02,30073,CARD,2783746
Harshitha74,harshitha@gmail.com74,7760410053,Nagasandra,560147,P076,Batteries,104,02-02-2025 10:02,30074,CARD,2783746
Harshitha75,harshitha@gmail.com75,7760410054,Nagasandra,560148,P077,Batteries,105,03-02-2025 10:02,30075,CARD,2783746
Harshitha76,harshitha@gmail.com76,7760410055,Nagasandra,560149,P078,Batteries,106,04-02-2025 10:02,30076,CARD,2783746
Harshitha77,harshitha@gmail.com77,7760410056,Nagasandra,560150,P079,Batteries,107,05-02-2025 10:02,30077,CARD,2783746
Harshitha78,harshitha@gmail.com78,7760410057,Nagasandra,560151,P080,Batteries,108,06-02-2025 10:02,30078,CARD,2783746
Harshitha79,harshitha@gmail.com79,7760410058,Nagasandra,560152,P081,Batteries,109,07-02-2025 10:02,30079,CARD,2783746
Harshitha80,harshitha@gmail.com80,7760410059,Nagasandra,560153,P082,Batteries,110,08-02-2025 10:02,30080,CARD,2783746
Harshitha81,harshitha@gmail.com81,7760410060,Nagasandra,560154,P083,Batteries,111,09-02-2025 10:02,30081,CARD,2783746
Harshitha82,harshitha@gmail.com82,7760410061,Nagasandra,560155,P084,Batteries,112,10-02-2025 10:02,30082,CARD,2783746
Harshitha83,harshitha@gmail.com83,7760410062,Nagasandra,560156,P085,Batteries,113,11-02-2025 10:02,30083,CARD,2783746
Harshitha84,harshitha@gmail.com84,7760410063,Nagasandra,560157,P086,Batteries,114,12-02-2025 10:02,30084,CARD,2783746
Harshitha85,harshitha@gmail.com85,7760410064,Nagasandra,560158,P087,Batteries,115,13-02-2025 10:02,30085,CARD,2783746
Harshitha86,harshitha@gmail.com86,7760410065,Nagasandra,560159,P088,Batteries,116,14-02-2025 10:02,30086,CARD,2783746
Harshitha87,harshitha@gmail.com87,7760410066,Nagasandra,560160,P089,Batteries,117,15-02-2025 10:02,30087,CARD,2783746
Harshitha88,harshitha@gmail.com88,7760410067,Nagasandra,560161,P090,Batteries,118,16-02-2025 10:02,30088,CARD,2783746
Harshitha89,harshitha@gmail.com89,7760410068,Nagasandra,560162,P091,Batteries,119,17-02-2025 10:02,30089,CARD,2783746
Harshitha90,harshitha@gmail.com90,7760410069,Nagasandra,560163,P092,Batteries,120,18-02-2025 10:02,30090,CARD,2783746
Harshitha91,harshitha@gmail.com91,7760410070,Nagasandra,560164,P093,Batteries,121,19-02-2025 10:02,30091,CARD,2783746
Harshitha92,harshitha@gmail.com92,7760410071,Nagasandra,560165,P094,Batteries,122,20-02-2025 10:02,30092,CARD,2783746
Harshitha93,harshitha@gmail.com93,7760410072,Nagasandra,560166,P095,Batteries,123,21-02-2025 10:02,30093,CARD,2783746
Harshitha94,harshitha@gmail.com94,7760410073,Nagasandra,560167,P096,Batteries,124,22-02-2025 10:02,30094,CARD,2783746
Harshitha95,harshitha@gmail.com95,7760410074,Nagasandra,560168,P097,Batteries,125,23-02-2025 10:02,30095,CARD,2783746
Harshitha96,harshitha@gmail.com96,7760410075,Nagasandra,560169,P098,Batteries,126,24-02-2025 10:02,30096,CARD,2783746
Harshitha97,harshitha@gmail.com97,7760410076,Nagasandra,560170,P099,Batteries,127,25-02-2025 10:02,30097,CARD,2783746
Harshitha98,harshitha@gmail.com98,7760410077,Nagasandra,560171,P100,Batteries,128,26-02-2025 10:02,30098,CARD,2783746
Harshitha99,harshitha@gmail.com99,7760410078,Nagasandra,560172,P101,Batteries,129,27-02-2025 10:02,30099,CARD,2783746
Harshitha100,harshitha@gmail.com100,7760410079,Nagasandra,560173,P102,Batteries,130,28-02-2025 10:02,30100,CARD,2783746
